"X5000","X5000.1","X0.01","X0.125","X1","X1.1","X1.2","X1.3","X1e.04"
"108",4000,6000,0.05,0.75,0,0,0,0,1e-04
"109",4000,6000,0.05,0.875,1,1,1,1,1e-04
"110",4000,6000,0.05,1,0,0,0,0,1e-04
"111",4000,6000,0.05,1.125,0,0,0,0,1e-04
"112",4000,6000,0.05,1.25,1,1,1,1,1e-04
"113",4000,6000,0.05,1.375,1,1,1,1,1e-04
"114",4000,6000,0.05,1.5,1,1,1,1,1e-04
"115",4000,6000,0.05,1.75,1,1,1,1,1e-04
"116",4000,6000,0.05,2,1,1,1,1,1e-04
"117",4000,6000,0.05,3,1,1,1,1,1e-04
"118",4000,6000,0.05,4,1,1,1,1,1e-04
"119",4000,6000,0.05,5,1,1,1,1,1e-04
"120",4000,6000,0.1,0.125,1,1,1,1,1e-04
"121",4000,6000,0.1,0.25,1,1,1,1,1e-04
"122",4000,6000,0.1,0.375,1,1,1,1,1e-04
"123",4000,6000,0.1,0.5,1,1,1,1,1e-04
"124",4000,6000,0.1,0.625,1,1,1,1,1e-04
"125",4000,6000,0.1,0.75,1,1,1,1,1e-04
"126",4000,6000,0.1,0.875,0,0,0,0,1e-04
"127",4000,6000,0.1,1,0,0,0,0,1e-04
"128",4000,6000,0.1,1.125,1,1,1,1,1e-04
"129",4000,6000,0.1,1.25,1,1,1,1,1e-04
"130",4000,6000,0.1,1.375,1,1,1,1,1e-04
"131",4000,6000,0.1,1.5,1,1,1,1,1e-04
"132",4000,6000,0.1,1.75,1,1,1,1,1e-04
"133",4000,6000,0.1,2,1,1,1,1,1e-04
"134",4000,6000,0.1,3,1,1,1,1,1e-04
"135",4000,6000,0.1,4,1,1,1,1,1e-04
"136",4000,6000,0.1,5,1,1,1,1,1e-04
"137",4000,6000,0.2,0.125,1,1,1,1,1e-04
"138",4000,6000,0.2,0.25,1,1,1,1,1e-04
"139",4000,6000,0.2,0.375,1,1,1,1,1e-04
"140",4000,6000,0.2,0.5,1,1,1,1,1e-04
"141",4000,6000,0.2,0.625,1,1,1,1,1e-04
"142",4000,6000,0.2,0.75,1,1,1,1,1e-04
"143",4000,6000,0.2,0.875,1,1,1,1,1e-04
"144",4000,6000,0.2,1,0,0,0,0,1e-04
"145",4000,6000,0.2,1.125,0,0,0,0,1e-04
"146",4000,6000,0.2,1.25,1,1,1,1,1e-04
"147",4000,6000,0.2,1.375,1,1,1,1,1e-04
"148",4000,6000,0.2,1.5,1,1,1,1,1e-04
"149",4000,6000,0.2,1.75,1,1,1,1,1e-04
"150",4000,6000,0.2,2,1,1,1,1,1e-04
"151",4000,6000,0.2,3,1,1,1,1,1e-04
"152",4000,6000,0.2,4,1,1,1,1,1e-04
"153",4000,6000,0.2,5,1,1,1,1,1e-04
"154",4000,6000,0.5,0.125,1,1,1,1,1e-04
"155",4000,6000,0.5,0.25,1,1,1,1,1e-04
"156",4000,6000,0.5,0.375,1,1,1,1,1e-04
"157",4000,6000,0.5,0.5,1,1,1,1,1e-04
"158",4000,6000,0.5,0.625,1,1,1,1,1e-04
"159",4000,6000,0.5,0.75,1,1,1,1,1e-04
"160",4000,6000,0.5,0.875,1,1,1,1,1e-04
"161",4000,6000,0.5,1,0,0,0,0,1e-04
"162",4000,6000,0.5,1.125,1,1,1,1,1e-04
"163",4000,6000,0.5,1.25,1,1,1,1,1e-04
"164",4000,6000,0.5,1.375,1,1,1,1,1e-04
"165",4000,6000,0.5,1.5,1,1,1,1,1e-04
"166",4000,6000,0.5,1.75,1,1,1,1,1e-04
"167",4000,6000,0.5,2,1,1,1,1,1e-04
"168",4000,6000,0.5,3,1,1,1,1,1e-04
"169",4000,6000,0.5,4,1,1,1,1,1e-04
"170",4000,6000,0.5,5,1,1,1,1,1e-04
"171",3000,7000,0.01,0.125,1,1,1,1,1e-04
"172",3000,7000,0.01,0.25,1,1,1,1,1e-04
"173",3000,7000,0.01,0.375,0,0,0,0,1e-04
"174",3000,7000,0.01,0.5,0,0,0,0,1e-04
"175",3000,7000,0.01,0.625,1,1,1,1,1e-04
"176",3000,7000,0.01,0.75,0,0,0,0,1e-04
"177",3000,7000,0.01,0.875,1,1,1,1,1e-04
"178",3000,7000,0.01,1,0,0,0,0,1e-04
"179",3000,7000,0.01,1.125,0,0,0,0,1e-04
"180",3000,7000,0.01,1.25,0,0,0,0,1e-04
"181",3000,7000,0.01,1.375,1,1,1,1,1e-04
"182",3000,7000,0.01,1.5,0,0,0,0,1e-04
"183",3000,7000,0.01,1.75,1,1,1,1,1e-04
"184",3000,7000,0.01,2,1,1,1,1,1e-04
"185",3000,7000,0.01,3,1,1,1,1,1e-04
"186",3000,7000,0.01,4,1,1,1,1,1e-04
"187",3000,7000,0.01,5,1,1,1,1,1e-04
"188",3000,7000,0.05,0.125,1,1,1,1,1e-04
"189",3000,7000,0.05,0.25,1,1,1,1,1e-04
"190",3000,7000,0.05,0.375,1,1,1,1,1e-04
"191",3000,7000,0.05,0.5,1,1,1,1,1e-04
"192",3000,7000,0.05,0.625,1,0,0,1,1e-04
"193",3000,7000,0.05,0.75,0,0,0,0,1e-04
"194",3000,7000,0.05,0.875,0,0,0,0,1e-04
"195",3000,7000,0.05,1,0,0,0,0,1e-04
"196",3000,7000,0.05,1.125,0,0,0,1,1e-04
"197",3000,7000,0.05,1.25,1,1,1,1,1e-04
"198",3000,7000,0.05,1.375,1,1,1,1,1e-04
"199",3000,7000,0.05,1.5,1,1,1,0,1e-04
"200",3000,7000,0.05,1.75,1,1,1,1,1e-04
"201",3000,7000,0.05,2,1,1,1,1,1e-04
